登録番号,登録年月日,事業者名,事業の種類,事業の種類の細目1,事業の種類の細目2,事業所名,所在地(都道府県),所在地(市区町村),登録対象業務の従業員数
2095,20180330,社会福祉法人すみれ会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,すみれ特別養護老人ホーム,青森県,黒石市,8
10084,20190523,公益財団法人近江兄弟社,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設ヴォーリズ老健センター,滋賀県,近江八幡市,12
20157,20180330,社会福祉法人翠光園,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,翠光園老人ホーム,熊本県,球磨郡あさぎり町,38
21564,20180330,特定医療法人瑞木会　,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設みずき,大分県,速見郡日出町,32
24019,20180330,社会福祉法人田老和心会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームふれあい荘医務室,岩手県,宮古市,50
24029,20180330,社会福祉法人川井心生会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム心生苑,岩手県,宮古市,39
40728,20180330,社会福祉法人修徳会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームかなや診療所,静岡県,島田市,68
53203,20180330,医療法人社団慶仁会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設　マイライフ芦屋,兵庫県,芦屋市,230
54370,20180330,社会福祉法人やず,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設すこやか,鳥取県,八頭郡八頭町,58
100800,20180330,医療法人昌生会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設　新田,鳥取県,米子市,17
101196,20180330,医療法人心和会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,なごみ診療所,福岡県,大野城市,8
102945,20180330,社会福祉法人旭悠会　特別養護老人補ホーム習志野偕生園,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム習志野偕生園,千葉県,習志野市,130
103017,20180330,恵和会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームさざんか園,千葉県,銚子市,58
105369,20180330,社会福祉法人石川福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム桜が丘保養園,広島県,東広島市,76
105393,20180330,介護老人保健施設　男鹿の郷,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設男鹿の郷,秋田県,男鹿市,55
105429,20180330,社会福祉法人一期一会福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム岩倉一期一会荘花むすび,愛知県,岩倉市,33
105463,20180330,介護老人保健施設はがみ苑,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設はがみ苑,香川県,観音寺市,96
105473,20180330,医療法人深見十全会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設らくらく一色,愛知県,西尾市,89
105507,20180330,社会福祉法人幸伸会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム青山荘,鹿児島県,肝属郡錦江町,56
105517,20180330,医療法人尽誠会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設わかば,神奈川県,小田原市,63
105519,20180330,特別養護老人ホーム白水荘,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム白水荘,山形県,東根市,88
105521,20180330,社会福祉法人渓州会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,社会福祉法人渓州会,鹿児島県,薩摩川内市,98
105525,20180330,医療法人アスピオス,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設みやこ苑,鳥取県,鳥取市,105
